127.0.0.1 - - [12/Oct/2015:10:35:03 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:05 +0530] "GET /a1ecommerce/ HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:05 +0530] "GET /a1ecommerce/assets/css/app.css HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:05 +0530] "GET /a1ecommerce/assets/css/bootstrap.css HTTP/1.1" 200 154230
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:05 +0530] "GET /a1ecommerce/assets/js/app.js HTTP/1.1" 200 1878
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:05 +0530] "GET /a1ecommerce/assets/js/jquery-2.1.3.min.js HTTP/1.1" 200 84324
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:06 +0530] "GET /a1ecommerce/categories HTTP/1.1" 200 52961
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:06 +0530] "GET /a1ecommerce/products/1 HTTP/1.1" 200 5498
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:06 +0530] "GET /a1ecommerce/assets/images/laptop2.jpg HTTP/1.1" 200 74689
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:06 +0530] "GET /a1ecommerce/assets/images/laptop3.jpg HTTP/1.1" 200 85514
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:06 +0530] "GET /a1ecommerce/assets/images/laptop5.jpg HTTP/1.1" 200 134989
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:06 +0530] "GET /a1ecommerce/assets/images/laptop1.jpg HTTP/1.1" 200 51730
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:06 +0530] "GET /a1ecommerce/assets/images/laptop4.jpg HTTP/1.1" 200 192752
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:22 +0530] "GET /a1ecommerce/products/4 HTTP/1.1" 200 8565
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:22 +0530] "GET /a1ecommerce/assets/images/ac1.jpg HTTP/1.1" 200 85672
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:22 +0530] "GET /a1ecommerce/assets/images/ac4.jpg HTTP/1.1" 200 288366
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:22 +0530] "GET /a1ecommerce/assets/images/ac3.jpg HTTP/1.1" 200 98237
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:22 +0530] "GET /a1ecommerce/assets/images/ac2.jpg HTTP/1.1" 200 182515
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:22 +0530] "GET /a1ecommerce/assets/images/ac5.jpg HTTP/1.1" 200 135504
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:23 +0530] "GET /a1ecommerce/products/5 HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:23 +0530] "GET /a1ecommerce/assets/images/au3.jpg HTTP/1.1" 200 94901
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:23 +0530] "GET /a1ecommerce/assets/images/au2.jpg HTTP/1.1" 200 142322
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:23 +0530] "GET /a1ecommerce/assets/images/au5.jpg HTTP/1.1" 200 47553
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:23 +0530] "GET /a1ecommerce/assets/images/au4.jpg HTTP/1.1" 200 114431
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:23 +0530] "GET /a1ecommerce/assets/images/au1.jpg HTTP/1.1" 200 58719
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:26 +0530] "GET /a1ecommerce/products/2 HTTP/1.1" 200 7248
